"","Dates","Top 10 Gross","%Â± LW","Overall Gross","%Â± LW.1","Releases","#1 Release
            ","Genre
            ","Budget
            ","Running Time
            ","Week","Long Weekend
            ","Year"
"1","Dec 30-Jan 2, 2005","$19,051,711","-24.7%","$19,951,447","-23.5%","20","Shrek 2","-","-","-",53,"false",2004
"2","Dec 23-26","$25,289,999","+60.3%","$26,075,148","+61%","20","Christmas in Love","-","-","-",52,"false",2004
"3","Dec 16-19","$15,774,453","+85.2%","$16,192,853","+72.9%","20","Shrek 2","-","-","-",51,"false",2004
"4","Dec 9-12","$8,516,517","-9.8%","$9,362,867","-12.4%","20","National Treasure","-","-","-",50,"false",2004
"5","Dec 2-5","$9,444,544","-9.5%","$10,691,406","-5.6%","20","The Incredibles","-","-","-",49,"false",2004
"6","Nov 25-28","$10,441,701","+39.9%","$11,324,986","+28.5%","20","The Incredibles","-","-","-",48,"false",2004
"7","Nov 18-21","$7,461,884","-26.8%","$8,810,826","-23.4%","20","Alien vs. Predator","-","-","-",47,"false",2004
"8","Nov 11-14","$10,197,343","+17.3%","$11,496,934","+14.1%","20","Exorcist: The Beginning","-","-","-",46,"false",2004
"9","Nov 4-7","$8,691,167","-19.7%","$10,080,212","-15.4%","20","Shall We Dance","-","-","-",45,"false",2004
"10","Oct 28-31","$10,825,747","+47.1%","$11,919,577","+44.2%","20","The Village","-","-","-",44,"false",2004
"11","Oct 21-24","$7,356,972","-5.8%","$8,266,350","-7.8%","20","I, Robot","-","-","-",43,"false",2004
"12","Oct 14-17","$7,811,611","-14.2%","$8,969,604","-15.5%","20","Collateral","-","-","-",42,"false",2004
"13","Oct 7-10","$9,102,389","+8.4%","$10,619,804","+11.1%","20","Hero","-","-","-",41,"false",2004
"14","Sep 30-Oct 3","$8,398,210","-17.1%","$9,557,717","-13.1%","20","King Arthur","-","-","-",40,"false",2004
"15","Sep 23-26","$10,128,511","-21%","$10,997,426","-16.2%","20","Spider-Man 2","-","-","-",39,"false",2004
"16","Sep 16-19","$12,827,417","+63.5%","$13,122,476","+56.9%","20","Spider-Man 2","-","-","-",38,"false",2004
"17","Sep 9-12","$7,844,831","+12.8%","$8,364,276","+13.2%","20","The Terminal","-","-","-",37,"false",2004
"18","Sep 2-5","$6,953,162","+28.8%","$7,386,578","+32.1%","20","The Terminal","-","-","-",36,"false",2004
"19","Aug 26-29Athens Olympics","$5,398,130","+111.4%","$5,593,496","+103.6%","20","Starsky & Hutch","-","-","-",35,"false",2004
"20","Aug 19-22Athens Olympics","$2,553,890","+387.5%","$2,746,954","+321.2%","20","The Chronicles of Riddick","-","-","-",34,"false",2004
"21","Aug 12-15Athens Olympics","$523,871","-48.7%","$652,188","-50.2%","20","Wrong Turn","-","-","-",33,"false",2004
"22","Aug 5-8","$1,020,564","+25.7%","$1,310,349","+35.5%","20","Ong-Bak: The Thai Warrior","-","-","-",32,"false",2004
"23","Jul 29-Aug 1","$811,641","-53.4%","$967,097","-51.2%","20","The Stepford Wives","-","-","-",31,"false",2004
"24","Jul 22-25","$1,742,784","+5.2%","$1,983,755","+4.5%","20","The Stepford Wives","-","-","-",30,"false",2004
"25","Jul 15-18","$1,656,173","-31.5%","$1,897,430","-27.8%","20","Timeline","-","-","-",29,"false",2004
"26","Jul 8-11","$2,416,126","+40.8%","$2,629,393","+36.4%","20","Timeline","-","-","-",28,"false",2004
