date;n_access
01/01/2012;24766
01/02/2012;21209
01/03/2012;20171
01/04/2012;14122
01/05/2012;14987
01/06/2012;18025
01/07/2012;14995
01/08/2012;15007
01/09/2012;16386
01/10/2012;21230
01/11/2012;15552
01/12/2012;21259
01/01/2013;22731
01/02/2013;22712
01/03/2013;12538
01/04/2013;18271
01/05/2013;18227
01/06/2013;23355
01/07/2013;23376
01/08/2013;25457
01/09/2013;26288
01/10/2013;24831
01/11/2013;39128
01/12/2013;28897
01/01/2014;18078
01/02/2014;17274
01/03/2014;17098
01/04/2014;18240
01/05/2014;17191
01/06/2014;17998
01/07/2014;17089
01/08/2014;30636
01/09/2014;38452
01/10/2014;33786
01/11/2014;73879
01/12/2014;51912
01/01/2015;37837
01/02/2015;80318
01/03/2015;63112
01/04/2015;48550
01/05/2015;54754
01/06/2015;99563
01/07/2015;66828
01/08/2015;106065
01/09/2015;91226
01/10/2015;76150
01/11/2015;99035
01/12/2015;66396
01/01/2016;189806
01/02/2016;296978
01/03/2016;334379
01/04/2016;645445
01/05/2016;640698
01/06/2016;629504
01/07/2016;635252
01/08/2016;640527
01/09/2016;648175
01/10/2016;645789
01/11/2016;660108
01/12/2016;660123
01/01/2017;653879
01/02/2017;667224
01/03/2017;673619
01/04/2017;788666
01/05/2017;943880
01/06/2017;1182793
01/07/2017;1402414
01/08/2017;1278170
01/09/2017;1078672
01/10/2017;1009709
01/11/2017;1074295
01/12/2017;1067076
01/01/2018;3428334
01/02/2018;3270046
01/03/2018;3247039
01/04/2018;3278296
01/05/2018;3358368
01/06/2018;3460716
01/07/2018;3688932
01/08/2018;3421804
01/09/2018;3451009
01/10/2018;3693067
01/11/2018;3968531
01/12/2018;3794648
01/01/2019;3930843
01/02/2019;3865889
01/03/2019;3558124
01/04/2019;3477392
01/05/2019;3555004
01/06/2019;3589068
01/07/2019;3679781
01/08/2019;4490519
01/09/2019;4803856
01/10/2019;4845383
01/11/2019;4479552
01/12/2019;4443195
01/01/2020;4479638
01/02/2020;4534574
01/03/2020;4591392
01/04/2020;4550294
01/05/2020;5143634
01/06/2020;6149557
01/07/2020;6084243
01/08/2020;6663620
01/09/2020;6884180
01/10/2020;7067769
01/11/2020;7231013
01/12/2020;8662519
01/01/2021;8754878
01/02/2021;8971566
01/03/2021;9295072
01/04/2021;11123123
01/05/2021;11071057
01/06/2021;11298948
01/07/2021;10747686
01/08/2021;10731160
01/09/2021;9955084
01/10/2021;9556548
01/11/2021;10228105
01/12/2021;11213507
01/01/2022;11208808
01/02/2022;10755195
01/03/2022;9876525
01/04/2022;9728942
01/05/2022;9610252
01/06/2022;9550855
01/07/2022;9408689
01/08/2022;8128399
01/09/2022;8608130
01/10/2022;8473059
01/11/2022;8640865
01/12/2022;8660978
