"","Week","Year","IT_movies","foreign_movies"
"1",1,2004,0,0
"2",2,2004,0,0
"3",11,2004,1,0
"4",12,2004,1,0
"5",13,2004,1,0
"6",14,2004,1,0
"7",15,2004,1,0
"8",16,2004,1,1
"9",17,2004,2,2
"10",18,2004,5,3
"11",19,2004,6,4
"12",20,2004,7,4
"13",21,2004,8,5
"14",22,2004,13,6
"15",23,2004,15,5
"16",24,2004,11,8
"17",25,2004,8,8
"18",26,2004,10,8
"19",27,2004,11,7
"20",28,2004,9,9
"21",29,2004,8,9
"22",30,2004,9,8
"23",31,2004,8,9
"24",32,2004,8,10
"25",33,2004,9,10
"26",34,2004,11,8
"27",35,2004,14,6
"28",36,2004,12,7
"29",37,2004,10,9
"30",38,2004,10,9
"31",39,2004,10,9
"32",40,2004,10,9
"33",41,2004,11,9
"34",42,2004,11,9
"35",43,2004,12,8
"36",44,2004,13,7
"37",45,2004,11,9
"38",46,2004,10,10
"39",47,2004,11,9
"40",48,2004,15,5
"41",49,2004,12,8
"42",50,2004,10,10
"43",51,2004,12,7
"44",52,2004,12,8
"45",1,2005,10,10
"46",2,2005,9,11
"47",3,2005,10,10
"48",4,2005,13,7
"49",5,2005,12,8
"50",6,2005,12,8
"51",7,2005,12,8
"52",8,2005,12,7
"53",9,2005,10,10
"54",10,2005,11,9
"55",11,2005,11,9
"56",12,2005,10,10
"57",13,2005,14,6
"58",14,2005,15,5
"59",15,2005,13,7
"60",16,2005,10,10
"61",17,2005,11,9
"62",18,2005,14,6
"63",19,2005,15,5
"64",20,2005,14,6
"65",21,2005,14,6
"66",22,2005,13,7
"67",23,2005,11,9
"68",24,2005,13,7
"69",25,2005,14,6
"70",26,2005,14,6
"71",27,2005,14,5
"72",28,2005,12,7
"73",29,2005,12,8
"74",30,2005,12,8
"75",31,2005,11,9
"76",32,2005,0,0
"77",33,2005,8,12
"78",34,2005,10,10
"79",35,2005,11,8
"80",36,2005,11,8
"81",37,2005,13,7
"82",38,2005,12,8
"83",39,2005,13,7
"84",40,2005,10,10
"85",41,2005,11,9
"86",42,2005,10,10
"87",43,2005,12,8
"88",44,2005,10,10
"89",45,2005,9,11
"90",46,2005,10,10
"91",47,2005,9,11
"92",48,2005,12,8
"93",49,2005,11,9
"94",50,2005,15,5
"95",51,2005,15,5
"96",52,2005,15,5
"97",1,2006,15,5
"98",2,2006,13,7
"99",3,2006,12,8
"100",4,2006,12,8
"101",5,2006,11,9
"102",6,2006,12,8
"103",7,2006,10,10
"104",8,2006,8,12
"105",9,2006,10,10
"106",10,2006,10,10
