"","Week","Year","IT_movies"
"1",1,2004,0
"2",2,2004,0
"3",3,2004,0
"4",4,2004,0
"5",5,2004,0
"6",6,2004,0
"7",7,2004,0
"8",8,2004,0
"9",9,2004,0
"10",10,2004,0
"11",11,2004,0
"12",12,2004,0
"13",13,2004,0
"14",14,2004,0
"15",15,2004,0
"16",16,2004,0
"17",17,2004,0
"18",18,2004,0
"19",19,2004,0
"20",20,2004,0
"21",21,2004,0
"22",22,2004,0
"23",23,2004,0
"24",24,2004,0
"25",25,2004,0
"26",26,2004,0
"27",27,2004,0
"28",28,2004,0
"29",29,2004,0
"30",30,2004,0
"31",31,2004,0
"32",32,2004,0
"33",33,2004,0
"34",34,2004,0
"35",35,2004,0
"36",36,2004,0
"37",37,2004,0
"38",38,2004,0
"39",39,2004,0
"40",40,2004,0
"41",41,2004,0
"42",42,2004,0
"43",43,2004,0
"44",44,2004,0
"45",45,2004,0
"46",46,2004,0
"47",47,2004,0
"48",48,2004,0
"49",49,2004,0
"50",50,2004,0
"51",51,2004,0
"52",52,2004,0
"53",1,2005,0
"54",2,2005,0
"55",3,2005,0
"56",4,2005,0
"57",5,2005,0
"58",6,2005,0
"59",7,2005,0
"60",8,2005,0
"61",9,2005,0
"62",10,2005,0
"63",11,2005,0
"64",12,2005,0
"65",13,2005,0
"66",14,2005,0
"67",15,2005,0
"68",16,2005,0
"69",17,2005,0
"70",18,2005,0
"71",19,2005,0
"72",20,2005,0
"73",21,2005,0
"74",22,2005,0
"75",23,2005,0
"76",24,2005,0
"77",25,2005,0
"78",26,2005,0
"79",27,2005,0
"80",28,2005,0
"81",29,2005,0
"82",30,2005,0
"83",31,2005,0
"84",32,2005,0
"85",33,2005,0
"86",34,2005,0
"87",35,2005,0
"88",36,2005,0
"89",37,2005,0
"90",38,2005,0
"91",39,2005,0
"92",40,2005,0
"93",41,2005,0
"94",42,2005,0
"95",43,2005,0
"96",44,2005,0
"97",45,2005,0
"98",46,2005,0
"99",47,2005,0
"100",48,2005,0
"101",49,2005,0
"102",50,2005,0
"103",51,2005,0
"104",52,2005,0
"105",1,2006,0
"106",2,2006,0
"107",3,2006,0
"108",4,2006,0
"109",5,2006,0
"110",6,2006,0
"111",7,2006,0
"112",8,2006,0
"113",9,2006,0
"114",10,2006,0
"115",11,2006,0
"116",12,2006,0
"117",13,2006,0
"118",14,2006,0
"119",15,2006,0
"120",16,2006,0
"121",17,2006,0
"122",18,2006,0
"123",19,2006,0
"124",20,2006,0
"125",21,2006,0
"126",22,2006,0
"127",23,2006,0
"128",24,2006,0
"129",25,2006,0
"130",26,2006,0
"131",27,2006,0
"132",28,2006,0
"133",29,2006,0
"134",30,2006,0
"135",31,2006,0
"136",32,2006,0
"137",33,2006,0
"138",34,2006,0
"139",35,2006,0
"140",36,2006,0
"141",37,2006,0
"142",38,2006,0
"143",39,2006,0
"144",40,2006,0
"145",41,2006,0
"146",42,2006,0
"147",43,2006,0
"148",44,2006,0
"149",45,2006,0
"150",46,2006,0
"151",47,2006,0
"152",48,2006,0
"153",49,2006,0
"154",50,2006,0
"155",51,2006,0
"156",52,2006,0
"157",1,2007,0
"158",2,2007,0
"159",3,2007,0
"160",4,2007,0
"161",5,2007,0
"162",6,2007,0
"163",7,2007,0
"164",8,2007,0
"165",9,2007,0
"166",10,2007,0
"167",11,2007,0
"168",12,2007,0
"169",13,2007,0
"170",14,2007,0
"171",15,2007,0
"172",16,2007,0
"173",17,2007,0
"174",18,2007,0
"175",19,2007,0
"176",20,2007,0
"177",21,2007,0
"178",22,2007,0
"179",23,2007,0
"180",24,2007,0
"181",25,2007,0
"182",26,2007,0
"183",27,2007,0
"184",28,2007,0
"185",29,2007,0
"186",30,2007,0
"187",31,2007,0
"188",32,2007,0
"189",33,2007,0
"190",34,2007,0
"191",35,2007,0
"192",36,2007,0
"193",37,2007,0
"194",38,2007,0
"195",39,2007,0
"196",40,2007,0
"197",41,2007,0
"198",42,2007,0
"199",43,2007,0
"200",44,2007,0
"201",45,2007,0
"202",46,2007,0
"203",47,2007,0
"204",48,2007,0
"205",49,2007,0
"206",50,2007,0
"207",51,2007,0
"208",52,2007,0
"209",1,2008,0
"210",2,2008,0
"211",3,2008,0
"212",4,2008,0
"213",5,2008,0
"214",6,2008,0
"215",7,2008,0
"216",8,2008,0
"217",9,2008,0
"218",10,2008,0
"219",11,2008,0
"220",12,2008,0
"221",13,2008,0
"222",14,2008,0
"223",15,2008,0
"224",16,2008,0
"225",17,2008,0
"226",18,2008,0
"227",19,2008,0
"228",20,2008,0
"229",21,2008,0
"230",22,2008,0
"231",23,2008,0
"232",24,2008,0
"233",25,2008,0
"234",26,2008,0
"235",27,2008,0
"236",28,2008,0
"237",29,2008,0
"238",30,2008,0
"239",31,2008,0
"240",32,2008,0
"241",33,2008,0
"242",34,2008,0
"243",35,2008,0
"244",36,2008,0
"245",37,2008,0
"246",38,2008,0
"247",39,2008,0
"248",40,2008,0
"249",41,2008,0
"250",42,2008,0
"251",43,2008,0
"252",44,2008,0
"253",45,2008,0
"254",46,2008,0
"255",47,2008,0
"256",48,2008,0
"257",49,2008,0
"258",50,2008,0
"259",51,2008,0
"260",52,2008,0
"261",1,2009,0
"262",2,2009,0
"263",3,2009,0
"264",4,2009,0
"265",5,2009,0
"266",6,2009,0
"267",7,2009,0
"268",8,2009,0
"269",9,2009,0
"270",10,2009,0
"271",11,2009,0
"272",12,2009,0
"273",13,2009,0
"274",14,2009,0
"275",15,2009,0
"276",16,2009,0
"277",17,2009,0
"278",18,2009,0
"279",19,2009,0
"280",20,2009,0
"281",21,2009,0
"282",22,2009,0
"283",23,2009,0
"284",24,2009,0
"285",25,2009,0
"286",26,2009,0
"287",27,2009,0
"288",28,2009,0
"289",29,2009,0
"290",30,2009,0
"291",31,2009,0
"292",32,2009,0
"293",33,2009,0
"294",34,2009,0
"295",35,2009,0
"296",36,2009,0
"297",37,2009,0
"298",38,2009,0
"299",39,2009,0
"300",40,2009,0
"301",41,2009,0
"302",42,2009,0
"303",43,2009,0
"304",44,2009,0
"305",45,2009,0
"306",46,2009,0
"307",47,2009,0
"308",48,2009,0
"309",49,2009,0
"310",50,2009,0
"311",51,2009,0
"312",52,2009,0
"313",1,2010,0
"314",2,2010,0
"315",3,2010,0
"316",4,2010,0
"317",5,2010,0
"318",6,2010,0
"319",7,2010,0
"320",8,2010,0
"321",9,2010,0
"322",10,2010,0
"323",11,2010,0
"324",12,2010,0
"325",13,2010,0
"326",14,2010,0
"327",15,2010,0
"328",16,2010,0
"329",17,2010,0
"330",18,2010,0
"331",19,2010,0
"332",20,2010,0
"333",21,2010,0
"334",22,2010,0
"335",23,2010,0
"336",24,2010,0
"337",25,2010,0
"338",26,2010,0
"339",27,2010,0
"340",28,2010,0
"341",29,2010,0
"342",30,2010,0
"343",31,2010,0
"344",32,2010,0
"345",33,2010,0
"346",34,2010,0
"347",35,2010,0
"348",36,2010,0
"349",37,2010,0
"350",38,2010,0
"351",39,2010,0
"352",40,2010,0
"353",41,2010,0
"354",42,2010,0
"355",43,2010,0
"356",44,2010,0
"357",45,2010,0
"358",46,2010,0
"359",47,2010,0
"360",48,2010,0
"361",49,2010,0
"362",50,2010,0
"363",51,2010,0
"364",52,2010,0
"365",1,2011,0
"366",2,2011,0
"367",3,2011,0
"368",4,2011,0
"369",5,2011,0
"370",6,2011,0
"371",7,2011,0
"372",8,2011,0
"373",9,2011,0
"374",10,2011,0
"375",11,2011,0
"376",12,2011,0
"377",13,2011,0
"378",14,2011,0
"379",15,2011,0
"380",16,2011,0
"381",17,2011,0
"382",18,2011,0
"383",19,2011,0
"384",20,2011,0
"385",21,2011,0
"386",22,2011,0
"387",23,2011,0
"388",24,2011,0
"389",25,2011,0
"390",26,2011,0
"391",27,2011,0
"392",28,2011,0
"393",29,2011,0
"394",30,2011,0
"395",31,2011,0
"396",32,2011,0
"397",33,2011,0
"398",34,2011,0
"399",35,2011,0
"400",36,2011,0
"401",37,2011,0
"402",38,2011,0
"403",39,2011,0
"404",40,2011,0
"405",41,2011,0
"406",42,2011,0
"407",43,2011,0
"408",44,2011,0
"409",45,2011,0
"410",46,2011,0
"411",47,2011,0
"412",48,2011,0
"413",49,2011,0
"414",50,2011,0
"415",51,2011,0
"416",52,2011,0
"417",1,2012,0
"418",2,2012,0
"419",3,2012,0
"420",4,2012,0
"421",5,2012,0
"422",6,2012,0
"423",7,2012,0
"424",8,2012,0
"425",9,2012,0
"426",10,2012,0
"427",11,2012,0
"428",12,2012,0
"429",13,2012,0
"430",14,2012,0
"431",15,2012,0
"432",16,2012,0
"433",17,2012,0
"434",18,2012,0
"435",19,2012,0
"436",20,2012,0
"437",21,2012,0
"438",22,2012,0
"439",23,2012,0
"440",24,2012,0
"441",25,2012,0
"442",26,2012,0
"443",27,2012,0
"444",28,2012,0
"445",29,2012,0
"446",30,2012,0
"447",31,2012,0
"448",32,2012,0
"449",33,2012,0
"450",34,2012,0
"451",35,2012,0
"452",36,2012,0
"453",37,2012,0
"454",38,2012,0
"455",39,2012,0
"456",40,2012,0
"457",41,2012,0
"458",42,2012,0
"459",43,2012,0
"460",44,2012,0
"461",45,2012,0
"462",46,2012,0
"463",47,2012,0
"464",48,2012,0
"465",49,2012,0
"466",50,2012,0
"467",51,2012,0
"468",52,2012,0
"469",1,2013,0
"470",2,2013,0
"471",3,2013,0
"472",4,2013,0
"473",5,2013,0
"474",6,2013,0
"475",7,2013,0
"476",8,2013,0
"477",9,2013,0
"478",10,2013,0
"479",11,2013,0
"480",12,2013,0
"481",13,2013,0
"482",14,2013,0
"483",15,2013,0
"484",16,2013,0
"485",17,2013,0
"486",18,2013,0
"487",19,2013,0
"488",20,2013,0
"489",21,2013,0
"490",22,2013,0
"491",23,2013,0
"492",24,2013,0
"493",25,2013,0
"494",26,2013,0
"495",27,2013,0
"496",28,2013,0
"497",29,2013,0
"498",30,2013,0
"499",31,2013,0
"500",32,2013,0
"501",33,2013,0
"502",34,2013,0
"503",35,2013,0
"504",36,2013,0
"505",37,2013,0
"506",38,2013,0
"507",39,2013,0
"508",40,2013,0
"509",41,2013,0
"510",42,2013,0
"511",43,2013,0
"512",44,2013,0
"513",45,2013,0
"514",46,2013,0
"515",47,2013,0
"516",48,2013,0
