"","Top 10 Gross","%± LW...2","Overall Gross","%± LW...4","Releases","#1 Release","Genre","Budget","Running Time","Week","Long Weekend","Year"
"1","$114,961,674","+2%","$146,324,498","+7.5%",97,"Meet the Fockers","-","-","-",53,"false",2004
"2","$112,673,267","+18.7%","$136,055,907","+26.9%",103,"Meet the Fockers","-","-","-",52,"false",2004
"3","$94,894,514","-3.8%","$107,253,447","+0.3%",113,"A Series of Unfortunate Events","-","-","-",51,"false",2004
"4","$98,593,405","+30.4%","$106,966,751","+22.7%",125,"Ocean's Twelve","-","-","-",50,"false",2004
"5","$75,632,953","-11.5%","$87,168,985","-11%",112,"National Treasure","-","-","-",49,"true",2004
"6","$146,437,423","+4.1%","$162,308,348","<0.1%",117,"National Treasure","-","-","-",48,"true",2004
"7","$178,346,730","+4.5%","$192,774,124","+1.4%",35,"National Treasure","-","-","-",48,"true",2004
"8","$205,521,213","+5.2%","$221,908,279","+2.1%",35,"National Treasure","-","-","-",48,"true",2004
"9","$139,057,519","+5.9%","$152,421,259","+5.3%",131,"National Treasure","-","-","-",47,"false",2004
"10","$131,257,704","-0.5%","$144,757,930","+0.3%",128,"The Incredibles","-","-","-",46,"false",2004
"11","$131,864,106","+48.3%","$144,384,462","+43.8%",127,"The Incredibles","-","-","-",45,"false",2004
"12","$88,903,187","-6.9%","$100,392,989","-5.6%",141,"The Grudge","-","-","-",44,"false",2004
"13","$95,443,105","+10.6%","$106,317,120","+9%",148,"The Grudge","-","-","-",43,"false",2004
"14","$86,263,922","-9.7%","$97,578,266","-9.9%",151,"Shark Tale","-","-","-",42,"false",2004
"15","$106,647,546","+28.8%","$116,070,023","+24.4%",48,"Shark Tale","-","-","-",41,"true",2004
"16","$95,535,064","-3.2%","$108,261,148","-4.8%",142,"Shark Tale","-","-","-",41,"false",2004
"17","$98,687,284","+77.2%","$113,687,612","+59.3%",142,"Shark Tale","-","-","-",40,"false",2004
"18","$55,689,771","-7.3%","$71,379,304","-9.5%",148,"The Forgotten","-","-","-",39,"false",2004
"19","$60,061,974","+1.6%","$78,833,307","-1.8%",137,"Sky Captain and the World of Tomorrow","-","-","-",38,"false",2004
"20","$59,095,246","+0.2%","$80,268,102","-9.8%",125,"Resident Evil: Apocalypse","-","-","-",37,"false",2004
"21","$75,033,354","-23.1%","$116,573,642","-12.9%",136,"Hero","-","-","-",36,"true",2004
"22","$58,998,603","-25.2%","$89,016,102","-14.4%",110,"Hero","-","-","-",36,"false",2004
"23","$78,830,121","-18.3%","$103,982,499","-12.9%",126,"Hero","-","-","-",35,"false",2004
"24","$96,455,296","-19.5%","$119,408,573","-13.2%",129,"Exorcist: The Beginning","-","-","-",34,"false",2004
